
+----+-------+------------+-------------------------------+-------------+
| id | col_1 | col_2      | col_3                         | col_4       |
+----+-------+------------+-------------------------------+-------------+
| 1  | true  | 123.123    | 2012-10-24 08:55:00           | voldemort   |
| 2  | false | 1243.5     | 2012-10-25 13:40:00           | severus     |
| 3  | false | 24453.325  | 2008-08-22 09:33:21.123000000 | grindlewald |
| 4  | false | 243423.325 | 2007-05-12 22:32:21.334540000 | dumbledore  |
| 5  | true  | 243.325    | 1953-04-22 09:11:33           | salazaar    |
+----+-------+------------+-------------------------------+-------------+
+----+----------+---------+
| id | col_4    | col_2   |
+----+----------+---------+
| 5  | salazaar | 243.325 |
+----+----------+---------+
+-------+
| col_1 |
+-------+
| false |
| false |
+-------+


+------+---------------------------------+
| id   | s                               |
+------+---------------------------------+
| 1    | Ahoy, Matey!                    |
| 2    | char esc = '\'                  |
| 3    | char quote = '"'                |
| NULL | this line is corrupted          |
| 5    | NULL                            |
| 6    | the last row is missing an item |
+------+---------------------------------+


+------+-------+
| id   | s     |
+------+-------+
| 0    | dummy |
| 1    | dummy |
| 2    | dummy |
| 3    | dummy |
| 4    | dummy |
| 5    | dummy |
| 6    | dummy |
| 7    | dummy |
| 8    | dummy |
| 9    | dummy |
| 10   | dummy |
| 11   | dummy |
| 12   | dummy |
| 13   | dummy |
| 14   | dummy |
| 15   | dummy |
| 16   | dummy |
| 17   | dummy |
| 18   | dummy |
| 19   | dummy |
| 20   | dummy |
| 21   | dummy |
| 22   | dummy |
| 23   | dummy |
| 24   | dummy |
| 25   | dummy |
| 26   | dummy |
| 27   | dummy |
| 28   | dummy |
| 29   | dummy |
| 30   | dummy |
| 31   | dummy |
| 32   | dummy |
| 33   | dummy |
| 34   | dummy |
| 35   | dummy |
| 36   | dummy |
| 37   | dummy |
| 38   | dummy |
| 39   | dummy |
| 40   | dummy |
| 41   | dummy |
| 42   | dummy |
| 43   | dummy |
| 44   | dummy |
| 45   | dummy |
| 46   | dummy |
| 47   | dummy |
| 48   | dummy |
| 49   | dummy |
| 50   | dummy |
| 51   | dummy |
| 52   | dummy |
| 53   | dummy |
| 54   | dummy |
| 55   | dummy |
| 56   | dummy |
| 57   | dummy |
| 58   | dummy |
| 59   | dummy |
| 60   | dummy |
| 61   | dummy |
| 62   | dummy |
| 63   | dummy |
| 64   | dummy |
| 65   | dummy |
| 66   | dummy |
| 67   | dummy |
| 68   | dummy |
| 69   | dummy |
| 70   | dummy |
| 71   | dummy |
| 72   | dummy |
| 73   | dummy |
| 74   | dummy |
| 75   | dummy |
| 76   | dummy |
| 77   | dummy |
| 78   | dummy |
| 79   | dummy |
| 80   | dummy |
| 81   | dummy |
| 82   | dummy |
| 83   | dummy |
| 84   | dummy |
| 85   | dummy |
| 86   | dummy |
| 87   | dummy |
| 88   | dummy |
| 89   | dummy |
| 90   | dummy |
| 91   | dummy |
| 92   | dummy |
| 93   | dummy |
| 94   | dummy |
| 95   | dummy |
| 96   | dummy |
| 97   | dummy |
| 98   | dummy |
| 99   | dummy |
| 100  | dummy |
| 101  | dummy |
| 102  | dummy |
| 103  | dummy |
| 104  | dummy |
| 105  | dummy |
| 106  | dummy |
| 107  | dummy |
| 108  | dummy |
| 109  | dummy |
| 110  | dummy |
| 111  | dummy |
| 112  | dummy |
| 113  | dummy |
| 114  | dummy |
| 115  | dummy |
| 116  | dummy |
| 117  | dummy |
| 118  | dummy |
| 119  | dummy |
| 120  | dummy |
| 121  | dummy |
| 122  | dummy |
| 123  | dummy |
| 124  | dummy |
| 125  | dummy |
| 126  | dummy |
| 127  | dummy |
| 128  | dummy |
| 129  | dummy |
| 130  | dummy |
| 131  | dummy |
| 132  | dummy |
| 133  | dummy |
| 134  | dummy |
| 135  | dummy |
| 136  | dummy |
| 137  | dummy |
| 138  | dummy |
| 139  | dummy |
| 140  | dummy |
| 141  | dummy |
| 142  | dummy |
| 143  | dummy |
| 144  | dummy |
| 145  | dummy |
| 146  | dummy |
| 147  | dummy |
| 148  | dummy |
| 149  | dummy |
| 150  | dummy |
| 151  | dummy |
| 152  | dummy |
| 153  | dummy |
| 154  | dummy |
| 155  | dummy |
| 156  | dummy |
| 157  | dummy |
| 158  | dummy |
| 159  | dummy |
| 160  | dummy |
| 161  | dummy |
| 162  | dummy |
| 163  | dummy |
| 164  | dummy |
| 165  | dummy |
| 166  | dummy |
| 167  | dummy |
| 168  | dummy |
| 169  | dummy |
| 170  | dummy |
| 171  | dummy |
| 172  | dummy |
| 173  | dummy |
| 174  | dummy |
| 175  | dummy |
| 176  | dummy |
| 177  | dummy |
| 178  | dummy |
| 179  | dummy |
| 180  | dummy |
| 181  | dummy |
| 182  | dummy |
| 183  | dummy |
| 184  | dummy |
| 185  | dummy |
| 186  | dummy |
| 187  | dummy |
| 188  | dummy |
| 189  | dummy |
| 190  | dummy |
| 191  | dummy |
| 192  | dummy |
| 193  | dummy |
| 194  | dummy |
| 195  | dummy |
| 196  | dummy |
| 197  | dummy |
| 198  | dummy |
| 199  | dummy |
| 200  | dummy |
| 201  | dummy |
| 202  | dummy |
| 203  | dummy |
| 204  | dummy |
| 205  | dummy |
| 206  | dummy |
| 207  | dummy |
| 208  | dummy |
| 209  | dummy |
| 210  | dummy |
| 211  | dummy |
| 212  | dummy |
| 213  | dummy |
| 214  | dummy |
| 215  | dummy |
| 216  | dummy |
| 217  | dummy |
| 218  | dummy |
| 219  | dummy |
| 220  | dummy |
| 221  | dummy |
| 222  | dummy |
| 223  | dummy |
| 224  | dummy |
| 225  | dummy |
| 226  | dummy |
| 227  | dummy |
| 228  | dummy |
| 229  | dummy |
| 230  | dummy |
| 231  | dummy |
| 232  | dummy |
| 233  | dummy |
| 234  | dummy |
| 235  | dummy |
| 236  | dummy |
| 237  | dummy |
| 238  | dummy |
| 239  | dummy |
| 240  | dummy |
| 241  | dummy |
| 242  | dummy |
| 243  | dummy |
| 244  | dummy |
| 245  | dummy |
| 246  | dummy |
| 247  | dummy |
| 248  | dummy |
| 249  | dummy |
| 250  | dummy |
| 251  | dummy |
| 252  | dummy |
| 253  | dummy |
| 254  | dummy |
| 255  | dummy |
| 256  | dummy |
| 257  | dummy |
| 258  | dummy |
| 259  | dummy |
| 260  | dummy |
| 261  | dummy |
| 262  | dummy |
| 263  | dummy |
| 264  | dummy |
| 265  | dummy |
| 266  | dummy |
| 267  | dummy |
| 268  | dummy |
| 269  | dummy |
| 270  | dummy |
| 271  | dummy |
| 272  | dummy |
| 273  | dummy |
| 274  | dummy |
| 275  | dummy |
| 276  | dummy |
| 277  | dummy |
| 278  | dummy |
| 279  | dummy |
| 280  | dummy |
| 281  | dummy |
| 282  | dummy |
| 283  | dummy |
| 284  | dummy |
| 285  | dummy |
| 286  | dummy |
| 287  | dummy |
| 288  | dummy |
| 289  | dummy |
| 290  | dummy |
| 291  | dummy |
| 292  | dummy |
| 293  | dummy |
| 294  | dummy |
| 295  | dummy |
| 296  | dummy |
| 297  | dummy |
| 298  | dummy |
| 299  | dummy |
| 300  | dummy |
| 301  | dummy |
| 302  | dummy |
| 303  | dummy |
| 304  | dummy |
| 305  | dummy |
| 306  | dummy |
| 307  | dummy |
| 308  | dummy |
| 309  | dummy |
| 310  | dummy |
| 311  | dummy |
| 312  | dummy |
| 313  | dummy |
| 314  | dummy |
| 315  | dummy |
| 316  | dummy |
| 317  | dummy |
| 318  | dummy |
| 319  | dummy |
| 320  | dummy |
| 321  | dummy |
| 322  | dummy |
| 323  | dummy |
| 324  | dummy |
| 325  | dummy |
| 326  | dummy |
| 327  | dummy |
| 328  | dummy |
| 329  | dummy |
| 330  | dummy |
| 331  | dummy |
| 332  | dummy |
| 333  | dummy |
| 334  | dummy |
| 335  | dummy |
| 336  | dummy |
| 337  | dummy |
| 338  | dummy |
| 339  | dummy |
| 340  | dummy |
| 341  | dummy |
| 342  | dummy |
| 343  | dummy |
| 344  | dummy |
| 345  | dummy |
| 346  | dummy |
| 347  | dummy |
| 348  | dummy |
| 349  | dummy |
| 350  | dummy |
| 351  | dummy |
| 352  | dummy |
| 353  | dummy |
| 354  | dummy |
| 355  | dummy |
| 356  | dummy |
| 357  | dummy |
| 358  | dummy |
| 359  | dummy |
| 360  | dummy |
| 361  | dummy |
| 362  | dummy |
| 363  | dummy |
| 364  | dummy |
| 365  | dummy |
| 366  | dummy |
| 367  | dummy |
| 368  | dummy |
| 369  | dummy |
| 370  | dummy |
| 371  | dummy |
| 372  | dummy |
| 373  | dummy |
| 374  | dummy |
| 375  | dummy |
| 376  | dummy |
| 377  | dummy |
| 378  | dummy |
| 379  | dummy |
| 380  | dummy |
| 381  | dummy |
| 382  | dummy |
| 383  | dummy |
| 384  | dummy |
| 385  | dummy |
| 386  | dummy |
| 387  | dummy |
| 388  | dummy |
| 389  | dummy |
| 390  | dummy |
| 391  | dummy |
| 392  | dummy |
| 393  | dummy |
| 394  | dummy |
| 395  | dummy |
| 396  | dummy |
| 397  | dummy |
| 398  | dummy |
| 399  | dummy |
| 400  | dummy |
| 401  | dummy |
| 402  | dummy |
| 403  | dummy |
| 404  | dummy |
| 405  | dummy |
| 406  | dummy |
| 407  | dummy |
| 408  | dummy |
| 409  | dummy |
| 410  | dummy |
| 411  | dummy |
| 412  | dummy |
| 413  | dummy |
| 414  | dummy |
| 415  | dummy |
| 416  | dummy |
| 417  | dummy |
| 418  | dummy |
| 419  | dummy |
| 420  | dummy |
| 421  | dummy |
| 422  | dummy |
| 423  | dummy |
| 424  | dummy |
| 425  | dummy |
| 426  | dummy |
| 427  | dummy |
| 428  | dummy |
| 429  | dummy |
| 430  | dummy |
| 431  | dummy |
| 432  | dummy |
| 433  | dummy |
| 434  | dummy |
| 435  | dummy |
| 436  | dummy |
| 437  | dummy |
| 438  | dummy |
| 439  | dummy |
| 440  | dummy |
| 441  | dummy |
| 442  | dummy |
| 443  | dummy |
| 444  | dummy |
| 445  | dummy |
| 446  | dummy |
| 447  | dummy |
| 448  | dummy |
| 449  | dummy |
| 450  | dummy |
| 451  | dummy |
| 452  | dummy |
| 453  | dummy |
| 454  | dummy |
| 455  | dummy |
| 456  | dummy |
| 457  | dummy |
| 458  | dummy |
| 459  | dummy |
| 460  | dummy |
| 461  | dummy |
| 462  | dummy |
| 463  | dummy |
| 464  | dummy |
| 465  | dummy |
| 466  | dummy |
| 467  | dummy |
| 468  | dummy |
| 469  | dummy |
| 470  | dummy |
| 471  | dummy |
| 472  | dummy |
| 473  | dummy |
| 474  | dummy |
| 475  | dummy |
| 476  | dummy |
| 477  | dummy |
| 478  | dummy |
| 479  | dummy |
| 480  | dummy |
| 481  | dummy |
| 482  | dummy |
| 483  | dummy |
| 484  | dummy |
| 485  | dummy |
| 486  | dummy |
| 487  | dummy |
| 488  | dummy |
| 489  | dummy |
| 490  | dummy |
| 491  | dummy |
| 492  | dummy |
| 493  | dummy |
| 494  | dummy |
| 495  | dummy |
| 496  | dummy |
| 497  | dummy |
| 498  | dummy |
| 499  | dummy |
| 500  | dummy |
| 501  | dummy |
